repository,file,ncloc,lines,functions,classes,statements,complexity,cognitive_complexity,duplicated_lines,duplicated_lines_density,duplicated_blocks,comment_lines,comment_lines_density,code_smells,sqale_index,sqale_debt_ratio,violations,blocker_violations,critical_violations,major_violations,minor_violations
NationalSecurityAgency/datawave,microservices/services/accumulo/service/pom.xml,407,410,,,,,,,,,2,0.5,,,,,,,,
NationalSecurityAgency/datawave,microservices/services/accumulo/api/pom.xml,192,194,,,,,,,,,1,0.5,,,,,,,,
NationalSecurityAgency/datawave,microservices/services/accumulo/pom.xml,48,49,,,,,,,,,0,0.0,,,,,,,,
NationalSecurityAgency/datawave,microservices/services/query-metric/service/pom.xml,722,725,,,,,,,,,2,0.3,,,,,,,,
NationalSecurityAgency/datawave,microservices/services/query-metric/api/pom.xml,293,295,,,,,,,,,1,0.3,,,,,,,,
NationalSecurityAgency/datawave,microservices/services/query-metric/pom.xml,48,49,,,,,,,,,0,0.0,,,,,,,,
NationalSecurityAgency/datawave,microservices/services/modification/service/pom.xml,288,293,,,,,,,,,4,1.4,,,,,,,,
NationalSecurityAgency/datawave,microservices/services/modification/api/pom.xml,85,86,,,,,,,,,0,0.0,,,,,,,,
NationalSecurityAgency/datawave,microservices/services/modification/pom.xml,48,49,,,,,,,,,0,0.0,,,,,,,,
NationalSecurityAgency/datawave,microservices/services/query/service/pom.xml,695,700,,,,,,,,,4,0.6,,,,,,,,
NationalSecurityAgency/datawave,microservices/services/query/pom.xml,48,49,,,,,,,,,0,0.0,,,,,,,,
NationalSecurityAgency/datawave,microservices/services/query/api/pom.xml,219,222,,,,,,,,,2,0.9,,,,,,,,
NationalSecurityAgency/datawave,microservices/services/dictionary/service/pom.xml,477,485,,,,,,,,,6,1.2,,,,,,,,
NationalSecurityAgency/datawave,microservices/services/dictionary/pom.xml,48,49,,,,,,,,,0,0.0,,,,,,,,
NationalSecurityAgency/datawave,microservices/services/dictionary/api/pom.xml,167,168,,,,,,,,,0,0.0,,,,,,,,
NationalSecurityAgency/datawave,microservices/services/mapreduce-query/api/pom.xml,31,32,,,,,,,,,0,0.0,,,,,,,,
NationalSecurityAgency/datawave,microservices/services/mapreduce-query/jobs/core/pom.xml,145,150,,,,,,,,,4,2.7,,,,,,,,
NationalSecurityAgency/datawave,microservices/services/mapreduce-query/jobs/pom.xml,15,16,,,,,,,,,0,0.0,,,,,,,,
NationalSecurityAgency/datawave,microservices/services/mapreduce-query/service/pom.xml,365,372,,,,,,,,,6,1.6,,,,,,,,
NationalSecurityAgency/datawave,microservices/services/mapreduce-query/pom.xml,50,51,,,,,,,,,0,0.0,,,,,,,,
NationalSecurityAgency/datawave,microservices/services/mapreduce-query/layout-factory/pom.xml,40,41,,,,,,,,,0,0.0,,,,,,,,
NationalSecurityAgency/datawave,microservices/services/authorization/api/pom.xml,200,202,,,,,,,,,1,0.5,,,,,,,,
NationalSecurityAgency/datawave,microservices/services/authorization/service/pom.xml,291,296,,,,,,,,,4,1.4,,,,,,,,
NationalSecurityAgency/datawave,microservices/services/authorization/pom.xml,48,49,,,,,,,,,0,0.0,,,,,,,,
NationalSecurityAgency/datawave,microservices/services/audit/api/pom.xml,80,81,,,,,,,,,0,0.0,,,,,,,,
NationalSecurityAgency/datawave,microservices/services/audit/service/pom.xml,476,481,,,,,,,,,4,0.8,,,,,,,,
NationalSecurityAgency/datawave,microservices/services/audit/pom.xml,48,49,,,,,,,,,0,0.0,,,,,,,,
NationalSecurityAgency/datawave,microservices/services/query-executor/service/pom.xml,652,663,,,,,,,,,9,1.4,,,,,,,,
NationalSecurityAgency/datawave,microservices/services/query-executor/api/pom.xml,147,148,,,,,,,,,0,0.0,,,,,,,,
NationalSecurityAgency/datawave,microservices/services/query-executor/pom.xml,48,49,,,,,,,,,0,0.0,,,,,,,,
NationalSecurityAgency/datawave,microservices/services/file-provider/service/pom.xml,103,106,,,,,,,,,2,1.9,,,,,,,,
NationalSecurityAgency/datawave,microservices/services/file-provider/api/pom.xml,105,106,,,,,,,,,0,0.0,,,,,,,,
NationalSecurityAgency/datawave,microservices/services/file-provider/pom.xml,48,49,,,,,,,,,0,0.0,,,,,,,,
NationalSecurityAgency/datawave,microservices/services/config/pom.xml,178,181,,,,,,,,,2,1.1,,,,,,,,
NationalSecurityAgency/datawave,microservices/services/hazelcast/common/pom.xml,109,112,,,,,,,,,2,1.8,,,,,,,,
NationalSecurityAgency/datawave,microservices/services/hazelcast/client/pom.xml,87,88,,,,,,,,,0,0.0,,,,,,,,
NationalSecurityAgency/datawave,microservices/services/hazelcast/service/pom.xml,135,138,,,,,,,,,2,1.5,,,,,,,,
NationalSecurityAgency/datawave,microservices/services/hazelcast/pom.xml,49,50,,,,,,,,,0,0.0,,,,,,,,
NationalSecurityAgency/datawave,microservices/services/pom.xml,169,170,,,,,,,,,0,0.0,,,,,,,,
NationalSecurityAgency/datawave,microservices/configcheck/pom.xml,403,410,,,,,,,,,4,1.0,,,,,,,,
NationalSecurityAgency/datawave,microservices/microservice-service-parent/pom.xml,394,422,,,,,,,,,25,6.0,,,,,,,,
NationalSecurityAgency/datawave,microservices/pom.xml,32,33,,,,,,,,,0,0.0,,,,,,,,
NationalSecurityAgency/datawave,microservices/microservice-parent/pom.xml,773,783,,,,,,,,,7,0.9,,,,,,,,
NationalSecurityAgency/datawave,core/utils/accumulo-utils/pom.xml,127,130,,,,,,,,,2,1.6,,,,,,,,
NationalSecurityAgency/datawave,core/utils/metadata-utils/pom.xml,136,137,,,,,,,,,0,0.0,,,,,,,,
NationalSecurityAgency/datawave,core/utils/type-utils/pom.xml,147,148,,,,,,,,,0,0.0,,,,,,,,
NationalSecurityAgency/datawave,core/utils/pom.xml,19,20,,,,,,,,,0,0.0,,,,,,,,
NationalSecurityAgency/datawave,core/utils/common-utils/pom.xml,50,51,,,,,,,,,0,0.0,,,,,,,,
NationalSecurityAgency/datawave,core/connection-pool/pom.xml,159,160,,,,,,,,,0,0.0,,,,,,,,
NationalSecurityAgency/datawave,core/in-memory-accumulo/pom.xml,407,414,,,,,,,,,4,1.0,,,,,,,,
NationalSecurityAgency/datawave,core/tables/pom.xml,30,34,,,,,,,,,0,0.0,,,,,,,,
NationalSecurityAgency/datawave,core/query/pom.xml,87,88,,,,,,,,,0,0.0,,,,,,,,
NationalSecurityAgency/datawave,core/common-util/pom.xml,120,121,,,,,,,,,0,0.0,,,,,,,,
NationalSecurityAgency/datawave,core/cached-results/pom.xml,52,53,,,,,,,,,0,0.0,,,,,,,,
NationalSecurityAgency/datawave,core/annotation/pom.xml,81,82,,,,,,,,,0,0.0,,,,,,,,
NationalSecurityAgency/datawave,core/modification/pom.xml,51,52,,,,,,,,,0,0.0,,,,,,,,
NationalSecurityAgency/datawave,core/base-rest-responses/pom.xml,160,161,,,,,,,,,0,0.0,,,,,,,,
NationalSecurityAgency/datawave,core/map-reduce/pom.xml,37,38,,,,,,,,,0,0.0,,,,,,,,
NationalSecurityAgency/datawave,core/metrics-reporter/pom.xml,114,115,,,,,,,,,0,0.0,,,,,,,,
NationalSecurityAgency/datawave,core/common/pom.xml,64,65,,,,,,,,,0,0.0,,,,,,,,
NationalSecurityAgency/datawave,core/pom.xml,90,91,,,,,,,,,0,0.0,,,,,,,,
NationalSecurityAgency/datawave,web-services/dictionary/pom.xml,46,47,,,,,,,,,0,0.0,,,,,,,,
NationalSecurityAgency/datawave,web-services/query/pom.xml,321,327,,,,,,,,,5,1.5,1,5,0.1,1,,,1,
NationalSecurityAgency/datawave,web-services/common/pom.xml,336,342,,,,,,,,,5,1.5,1,5,,1,,,1,
NationalSecurityAgency/datawave,web-services/common-util/pom.xml,297,298,,,,,,,,,0,0.0,,,,,,,,
NationalSecurityAgency/datawave,web-services/query-websocket/pom.xml,88,90,,,,,,,,,1,1.1,,,,,,,,
NationalSecurityAgency/datawave,web-services/client/pom.xml,376,379,,,,,,,,,2,0.5,1,5,,1,,,1,
NationalSecurityAgency/datawave,web-services/deploy/application/pom.xml,823,855,,,,,,,,,17,2.0,,,,,,,,
NationalSecurityAgency/datawave,web-services/deploy/docs/pom.xml,133,135,,,,,,,,,1,0.7,,,,,,,,
NationalSecurityAgency/datawave,web-services/deploy/configuration/pom.xml,54,55,,,,,,,,,0,0.0,,,,,,,,
NationalSecurityAgency/datawave,web-services/deploy/pom.xml,31,32,,,,,,,,,0,0.0,,,,,,,,
NationalSecurityAgency/datawave,web-services/deploy/spring-framework-integration/pom.xml,243,244,,,,,,,,,0,0.0,,,,,,,,
NationalSecurityAgency/datawave,web-services/annotations/pom.xml,237,238,,,,,,,,,0,0.0,,,,,,,,
NationalSecurityAgency/datawave,web-services/atom/pom.xml,146,149,,,,,,,,,2,1.4,,,,,,,,
NationalSecurityAgency/datawave,web-services/cached-results/pom.xml,198,200,,,,,,,,,1,0.5,,,,,,,,
NationalSecurityAgency/datawave,web-services/security/pom.xml,330,332,,,,,,,,,1,0.3,,,,,,,,
NationalSecurityAgency/datawave,web-services/examples/jms-client/pom.xml,59,60,,,,,,,,,0,0.0,,,,,,,,
NationalSecurityAgency/datawave,web-services/examples/query-war/pom.xml,70,71,,,,,,,,,0,0.0,,,,,,,,
NationalSecurityAgency/datawave,web-services/examples/http-client/pom.xml,105,106,,,,,,,,,0,0.0,,,,,,,,
NationalSecurityAgency/datawave,web-services/examples/client-login/pom.xml,83,84,,,,,,,,,0,0.0,,,,,,,,
NationalSecurityAgency/datawave,web-services/examples/pom.xml,18,19,,,,,,,,,0,0.0,,,,,,,,
NationalSecurityAgency/datawave,web-services/modification/pom.xml,110,111,,,,,,,,,0,0.0,,,,,,,,
NationalSecurityAgency/datawave,web-services/metrics/pom.xml,53,54,,,,,,,,,0,0.0,,,,,,,,
NationalSecurityAgency/datawave,web-services/accumulo/pom.xml,144,145,,,,,,,,,0,0.0,,,,,,,,
NationalSecurityAgency/datawave,web-services/model/pom.xml,171,172,,,,,,,,,0,0.0,,,,,,,,
NationalSecurityAgency/datawave,web-services/web-root/pom.xml,96,97,,,,,,,,,0,0.0,,,,,,,,
NationalSecurityAgency/datawave,web-services/rest-api/pom.xml,42,43,,,,,,,,,0,0.0,,,,,,,,
NationalSecurityAgency/datawave,web-services/pom.xml,742,751,,,,,,,,,7,0.9,,,,,,,,
NationalSecurityAgency/datawave,contrib/datawave-utils/code-style/pom.xml,88,89,,,,,,,,,0,0.0,,,,,,,,
NationalSecurityAgency/datawave,contrib/datawave-utils/read-properties/pom.xml,129,130,,,,,,,,,0,0.0,,,,,,,,
NationalSecurityAgency/datawave,contrib/datawave-utils/assert-properties/pom.xml,124,125,,,,,,,,,0,0.0,,,,,,,,
NationalSecurityAgency/datawave,contrib/datawave-quickstart/docker/pom.xml,333,345,,,,,,,,,0,0.0,,,,,,,,
NationalSecurityAgency/datawave,common-test/pom.xml,71,72,,,,,,,,,0,0.0,,,,,,,,
NationalSecurityAgency/datawave,docs/pom.xml,327,329,,,,,,,,,1,0.3,,,,,,,,
NationalSecurityAgency/datawave,pom.xml,2464,2486,,,,,,,,,19,0.8,,,,,,,,
NationalSecurityAgency/datawave,coverage/pom.xml,321,322,,,,,,,,,0,0.0,,,,,,,,
NationalSecurityAgency/datawave,microservices/services/query/service/src/main/java/datawave/microservice/query/PoolHealthController.java,148,190,16,3,56,26,18,,,,4,2.6,1,8,0.2,1,,1,,
NationalSecurityAgency/datawave,warehouse/ingest-core/src/main/java/datawave/ingest/input/reader/PositionAwareLineReader.java,8,16,5,1,0,0,,,,,0,0.0,,,,,,,,
NationalSecurityAgency/datawave,microservices/services/dictionary/service/src/main/frontend/postcss.config.cjs,16,28,0,0,1,0,,,,,7,30.4,1,5,1.0,1,,,1,
NationalSecurityAgency/datawave,web-services/query/src/main/java/datawave/webservice/query/util/PostUUIDCriteria.java,13,21,2,1,3,2,,,,,1,7.1,,,,,,,,
NationalSecurityAgency/datawave,web-services/common-util/src/main/java/datawave/webservice/common/exception/PreConditionFailedException.java,11,18,1,1,1,1,,,,,0,0.0,,,,,,,,
NationalSecurityAgency/datawave,core/base-rest-responses/src/main/java/datawave/webservice/query/exception/PreConditionFailedQueryException.java,40,55,12,1,12,12,,,,,0,0.0,,,,,,,,
NationalSecurityAgency/datawave,core/base-rest-responses/src/test/java/datawave/webservice/query/exception/PreConditionFailedQueryExceptionTest.java,109,128,12,1,60,12,,,,,0,0.0,7,38,1.2,7,,2,,5
NationalSecurityAgency/datawave,microservices/services/query-executor/service/src/main/java/datawave/microservice/query/executor/action/PredictTask.java,47,65,3,1,17,5,1,,,,2,4.1,1,2,0.1,1,,,,1
NationalSecurityAgency/datawave,warehouse/query-core/src/main/java/datawave/query/function/PrefixEquality.java,12,21,2,1,2,2,,,,,1,7.7,,,,,,,,
NationalSecurityAgency/datawave,warehouse/query-core/src/main/java/datawave/query/attributes/PreNormalizedAttribute.java,99,130,14,1,34,20,6,,,,4,3.9,,,,,,,,
NationalSecurityAgency/datawave,warehouse/query-core/src/main/java/datawave/query/attributes/PreNormalizedAttributeFactory.java,12,18,2,1,2,2,,,,,0,0.0,,,,,,,,
NationalSecurityAgency/datawave,warehouse/query-core/src/test/java/datawave/query/attributes/PreNormalizedAttributeTest.java,25,36,2,1,13,2,,,,,1,3.8,,,,,,,,
NationalSecurityAgency/datawave,warehouse/query-core/src/main/java/datawave/query/jexl/visitors/PrintingVisitor.java,524,756,107,4,140,112,10,,,,64,10.9,1,10,0.1,1,,,1,
NationalSecurityAgency/datawave,warehouse/query-core/src/main/java/datawave/query/lucene/visitors/PrintingVisitor.java,269,326,46,4,88,49,5,,,,0,0.0,6,70,0.9,6,,5,1,
NationalSecurityAgency/datawave,warehouse/query-core/src/test/java/datawave/query/jexl/visitors/PrintingVisitorTest.java,93,117,9,1,24,9,,,,,8,7.9,,,,,,,,
NationalSecurityAgency/datawave,warehouse/query-core/src/test/java/datawave/helpers/PrintUtility.java,110,169,5,1,64,11,11,38,22.5,2,16,12.7,6,28,0.8,6,,1,3,
NationalSecurityAgency/datawave,core/utils/type-utils/src/main/java/datawave/data/normalizer/regex/visitor/PrintVisitor.java,172,224,28,4,57,30,5,,,,8,4.4,2,20,0.4,2,,,2,
NationalSecurityAgency/datawave,warehouse/query-core/src/main/java/datawave/query/planner/scanhints/PriorityScanHintRule.java,9,18,1,1,2,1,,,,,2,18.2,1,2,0.7,1,,,1,
NationalSecurityAgency/datawave,core/common/src/main/java/datawave/core/common/audit/PrivateAuditConstants.java,14,23,1,1,2,2,,,,,2,12.5,1,5,1.2,1,,,1,
NationalSecurityAgency/datawave,warehouse/metrics-core/src/main/java/datawave/metrics/mapreduce/error/ProcessingErrorsMapper.java,23,42,1,1,10,3,2,,,,2,8.0,,,,,,,,
NationalSecurityAgency/datawave,warehouse/metrics-core/src/main/java/datawave/metrics/mapreduce/error/ProcessingErrorsReducer.java,151,210,3,1,86,14,30,,,,8,5.0,8,68,1.5,8,,2,5,
NationalSecurityAgency/datawave,common-test/src/main/java/datawave/common/test/utils/ProcessUtils.java,77,123,8,1,38,15,9,,,,4,4.9,,,,,,,,
NationalSecurityAgency/datawave,warehouse/query-core/src/main/java/datawave/query/tables/ProducerConsumerBuffer.java,96,159,9,1,44,22,13,,,,28,22.6,,,,,,,,
NationalSecurityAgency/datawave,warehouse/query-core/src/test/java/datawave/query/tables/ProducerConsumerBufferTest.java,351,440,16,1,216,54,77,,,,36,9.3,36,422,4.0,51,,,49,2
NationalSecurityAgency/datawave,warehouse/query-core/src/main/java/datawave/query/tables/ProducerConsumerQueue.java,18,25,4,1,4,4,,,,,0,0.0,,,,,,,,
NationalSecurityAgency/datawave,warehouse/query-core/src/main/java/datawave/query/config/Profile.java,12,45,3,1,0,0,,,,,12,50.0,,,,,,,,
NationalSecurityAgency/datawave,warehouse/query-core/src/main/java/datawave/query/predicate/Projection.java,83,120,11,2,30,21,11,,,,8,8.8,13,135,5.4,13,,,8,
NationalSecurityAgency/datawave,warehouse/query-core/src/test/java/datawave/query/predicate/ProjectionTest.java,150,185,14,1,93,14,,60,32.4,4,0,0.0,26,292,6.5,26,,10,8,
NationalSecurityAgency/datawave,warehouse/ingest-core/src/main/java/datawave/ingest/table/aggregator/PropogatingCombiner.java,39,101,7,1,9,9,2,,,,19,32.8,,,,,,,,
NationalSecurityAgency/datawave,warehouse/ingest-core/src/main/java/datawave/iterators/PropogatingIterator.java,205,356,16,1,97,52,56,,,,50,19.6,3,9,0.1,3,,,,3
NationalSecurityAgency/datawave,warehouse/ingest-core/src/test/java/datawave/iterators/PropogatingIteratorSeekTest.java,166,217,22,4,61,25,6,48,22.1,8,11,6.2,3,30,0.6,3,,2,1,
NationalSecurityAgency/datawave,warehouse/ingest-core/src/test/java/datawave/iterators/PropogatingIteratorTest.java,501,711,45,2,326,51,6,273,38.4,16,0,0.0,6,180,1.2,7,,7,,
NationalSecurityAgency/datawave,warehouse/ingest-core/src/main/java/datawave/ingest/mapreduce/handler/edge/ProtobufEdgeDataTypeHandler.java,1041,1449,51,3,578,243,525,77,5.3,4,131,11.2,53,787,2.5,53,,10,21,19
NationalSecurityAgency/datawave,warehouse/ingest-core/src/test/java/datawave/ingest/mapreduce/handler/edge/ProtobufEdgeDeleteModeTest.java,276,386,8,2,162,32,59,39,10.1,3,27,8.9,10,148,1.8,10,,2,1,6
NationalSecurityAgency/datawave,warehouse/ingest-core/src/test/java/datawave/ingest/mapreduce/handler/edge/ProtobufEdgeDeletePreconditionTest.java,147,196,5,1,99,5,,117,59.7,9,4,2.6,11,120,2.7,11,,11,,
NationalSecurityAgency/datawave,warehouse/ingest-core/src/test/java/datawave/ingest/mapreduce/handler/edge/ProtobufEdgeDirectionTest.java,228,334,6,1,167,26,10,13,3.9,2,32,12.3,30,368,5.4,30,,18,2,10
NationalSecurityAgency/datawave,warehouse/ingest-core/src/test/java/datawave/ingest/mapreduce/handler/edge/ProtobufEdgePreconditionTest.java,472,639,17,1,348,17,,488,76.4,39,27,5.4,43,742,5.2,43,,39,3,
NationalSecurityAgency/datawave,warehouse/ingest-core/src/main/java/datawave/ingest/table/config/ProtobufEdgeTableConfigHelper.java,44,76,3,1,15,9,6,,,,14,24.1,2,10,0.8,2,,,,2
NationalSecurityAgency/datawave,core/base-rest-responses/src/test/java/datawave/webservice/ProtobufSerializationTestBase.java,54,69,5,1,27,8,3,,,,0,0.0,3,90,5.6,3,,,3,
NationalSecurityAgency/datawave,core/base-rest-responses/src/main/java/datawave/webservice/query/result/util/protostuff/ProtostuffField.java,32,50,5,1,13,7,3,,,,5,13.5,,,,,,,,
NationalSecurityAgency/datawave,core/base-rest-responses/src/test/java/datawave/webservice/query/result/util/protostuff/ProtostuffFieldTest.java,59,78,9,3,17,10,,,,,1,1.7,4,26,1.5,4,,3,,1
NationalSecurityAgency/datawave,microservices/starters/datawave/src/main/java/datawave/microservice/http/converter/protostuff/ProtostuffHttpMessageConverter.java,69,88,5,1,22,10,6,,,,2,2.8,,,,,,,,
NationalSecurityAgency/datawave,microservices/starters/datawave/src/test/java/datawave/microservice/http/converter/protostuff/ProtostuffHttpMessageConverterTest.java,69,83,2,3,19,2,,,,,0,0.0,,,,,,,,
NationalSecurityAgency/datawave,web-services/client/src/main/java/datawave/webservice/util/ProtostuffMessageBodyWriter.java,69,89,3,1,23,12,9,,,,5,6.8,1,,,1,,,,
NationalSecurityAgency/datawave,core/query/src/main/java/datawave/core/query/predicate/ProxiedAuthorizationsPredicate.java,54,81,10,2,16,13,7,,,,6,10.0,1,2,0.1,1,,,,1
NationalSecurityAgency/datawave,microservices/starters/datawave/src/main/java/datawave/microservice/authorization/preauth/ProxiedEntityPreauthPrincipal.java,50,70,7,1,18,13,6,,,,4,7.4,,,,,,,,
NationalSecurityAgency/datawave,microservices/services/authorization/service/src/main/java/datawave/microservice/authorization/userdetails/ProxiedEntityUserDetailsService.java,69,93,2,1,26,8,11,,,,10,12.7,,,,,,,,
NationalSecurityAgency/datawave,microservices/services/authorization/service/src/test/java/datawave/microservice/authorization/ProxiedEntityUserDetailsServiceTest.java,102,120,6,2,33,6,,,,,3,2.9,1,10,0.3,1,,1,,
NationalSecurityAgency/datawave,microservices/services/authorization/api/src/main/java/datawave/security/util/ProxiedEntityUtils.java,118,248,9,1,65,30,29,,,,82,41.0,,,,,,,,
NationalSecurityAgency/datawave,microservices/services/authorization/api/src/test/java/datawave/security/util/ProxiedEntityUtilsTest.java,97,221,8,1,43,9,,,,,58,37.4,6,86,3.0,6,,6,,
NationalSecurityAgency/datawave,microservices/starters/datawave/src/main/java/datawave/microservice/authorization/preauth/ProxiedEntityX509Filter.java,151,191,10,1,66,30,30,,,,14,8.5,2,30,0.7,2,,,,2
NationalSecurityAgency/datawave,microservices/services/authorization/api/src/main/java/datawave/security/authorization/ProxiedUserDetails.java,13,24,8,1,0,0,,,,,0,0.0,1,20,5.1,1,,1,,
NationalSecurityAgency/datawave,warehouse/query-core/src/main/java/datawave/query/jexl/visitors/PullupUnexecutableNodesVisitor.java,377,473,50,1,127,81,60,238,50.3,3,21,5.3,6,82,0.7,6,,1,3,
NationalSecurityAgency/datawave,warehouse/query-core/src/test/java/datawave/query/jexl/visitors/PullupUnexecutableNodesVisitorTest.java,135,170,16,1,61,16,2,,,,8,5.6,,,,,,,,
NationalSecurityAgency/datawave,warehouse/query-core/src/main/java/datawave/query/scheduler/PushdownFunction.java,62,115,3,1,31,9,12,,,,24,27.9,1,5,0.3,1,,,1,
NationalSecurityAgency/datawave,warehouse/query-core/src/main/java/datawave/query/jexl/visitors/PushdownLargeFieldedListsVisitor.java,266,378,14,1,138,54,64,,,,45,14.5,4,43,0.5,4,,1,2,1
NationalSecurityAgency/datawave,warehouse/query-core/src/test/java/datawave/query/rewrite/jexl/visitors/PushdownLargeFieldedListsVisitorTest.java,142,172,17,1,50,18,4,,,,1,0.7,5,50,1.2,7,,5,1,1
NationalSecurityAgency/datawave,warehouse/query-core/src/main/java/datawave/query/jexl/visitors/PushdownLowSelectivityNodesVisitor.java,72,95,6,1,28,12,11,,,,6,7.7,,,,,,,,
NationalSecurityAgency/datawave,warehouse/query-core/src/test/java/datawave/query/jexl/visitors/PushdownLowSelectivityNodesVisitorTest.java,80,136,7,1,39,9,3,115,84.6,1,18,18.4,3,12,0.5,3,,1,,2
NationalSecurityAgency/datawave,warehouse/query-core/src/test/java/datawave/query/rewrite/jexl/visitors/PushdownLowSelectivityNodesVisitorTest.java,84,102,7,1,39,9,3,77,75.5,1,0,0.0,4,17,0.7,4,,1,1,2
NationalSecurityAgency/datawave,warehouse/query-core/src/main/java/datawave/query/jexl/visitors/PushdownMissingIndexRangeNodesVisitor.java,159,229,11,1,80,34,45,,,,34,17.6,3,7,0.1,3,,1,,
NationalSecurityAgency/datawave,warehouse/query-core/src/test/java/datawave/query/jexl/visitors/PushdownMissingIndexRangeNodesVisitorTest.java,241,289,20,1,136,20,,203,70.2,20,0,0.0,17,181,2.5,17,,11,1,5
NationalSecurityAgency/datawave,warehouse/query-core/src/main/java/datawave/query/jexl/visitors/PushdownNegationVisitor.java,165,300,12,2,87,39,45,,,,66,28.6,,,,,,,,
NationalSecurityAgency/datawave,warehouse/query-core/src/test/java/datawave/query/jexl/visitors/PushdownNegationVisitorTest.java,260,319,37,1,126,37,1,,,,8,3.0,2,16,0.2,2,,2,,
NationalSecurityAgency/datawave,warehouse/query-core/src/main/java/datawave/query/planner/pushdown/PushDownPlanner.java,12,36,3,1,0,0,,,,,10,45.5,,,,,,,,
NationalSecurityAgency/datawave,warehouse/query-core/src/test/java/datawave/query/PushdownQueryTest.java,163,190,13,1,84,21,8,,,,5,3.0,5,62,1.3,5,,4,,1
NationalSecurityAgency/datawave,warehouse/query-core/src/main/java/datawave/query/planner/pushdown/rules/PushDownRule.java,22,48,4,1,5,3,,,,,9,29.0,,,,,,,,
NationalSecurityAgency/datawave,warehouse/query-core/src/main/java/datawave/query/scheduler/PushdownScheduler.java,174,282,13,1,66,24,17,,,,35,16.7,8,76,1.5,8,,,5,1
NationalSecurityAgency/datawave,warehouse/query-core/src/main/java/datawave/query/jexl/visitors/PushdownUnexecutableNodesVisitor.java,339,422,50,1,98,67,33,238,56.4,3,18,5.0,3,60,0.6,3,,,3,
NationalSecurityAgency/datawave,warehouse/query-core/src/test/java/datawave/query/jexl/visitors/PushdownUnexecutableNodesVisitorTest.java,238,292,5,1,37,5,,,,,31,11.5,9,61,0.9,9,,5,3,1
NationalSecurityAgency/datawave,warehouse/query-core/src/main/java/datawave/query/jexl/visitors/PushdownUnindexedFieldsVisitor.java,163,226,22,1,51,42,22,,,,20,10.9,,,,,,,,
NationalSecurityAgency/datawave,warehouse/query-core/src/test/java/datawave/query/jexl/visitors/PushdownUnindexedFieldsVisitorTest.java,111,130,4,1,9,4,,,,,4,3.5,4,28,0.8,4,,2,1,1
NationalSecurityAgency/datawave,warehouse/query-core/src/main/java/datawave/query/planner/pushdown/PushDownVisitor.java,74,105,8,1,30,15,9,,,,5,6.3,,,,,,,,
NationalSecurityAgency/datawave,warehouse/query-core/src/main/java/datawave/query/jexl/visitors/PushFunctionsIntoExceededValueRanges.java,160,212,8,1,89,37,49,,,,22,12.1,3,51,1.1,3,,1,2,
NationalSecurityAgency/datawave,microservices/services/dictionary/service/src/main/frontend/quasar.config.mjs,72,108,2,0,2,3,1,,,,10,12.2,,,,,,,,
NationalSecurityAgency/datawave,web-services/common-util/src/main/java/datawave/query/iterator/QueriesTableAgeOffIterator.java,31,43,3,1,8,4,2,,,,3,8.8,1,2,0.2,1,,,,1
NationalSecurityAgency/datawave,web-services/common-util/src/test/java/datawave/query/iterator/QueriesTableAgeOffIteratorTest.java,48,65,1,1,23,5,6,,,,3,5.9,1,5,0.3,1,,,1,
NationalSecurityAgency/datawave,microservices/services/query-metric/api/src/main/resources/static/js/query-interactive-parens.js,62,72,3,0,48,18,51,,,,8,11.4,11,109,5.9,11,,3,8,
NationalSecurityAgency/datawave,microservices/services/query/api/src/main/java/datawave/microservice/query/Query.java,109,168,53,1,24,6,7,,,,0,0.0,1,15,0.5,1,,,,
NationalSecurityAgency/datawave,microservices/services/query/service/src/main/resources/templates/query_help.html,230,242,,,,1,,178,73.6,4,0,0.0,,,,3,,,3,
NationalSecurityAgency/datawave,web-services/deploy/docs/docs/query_help.html,251,263,,,,1,,178,67.7,4,0,0.0,,,,4,,,4,
NationalSecurityAgency/datawave,web-services/query/src/main/java/datawave/webservice/query/limit/QueryAlreadyTrackedException.java,6,9,1,1,1,1,,,,,0,0.0,,,,,,,,
NationalSecurityAgency/datawave,warehouse/query-core/src/test/java/datawave/query/QueryAuthsTest.java,175,221,12,2,89,21,15,,,,4,2.2,3,47,0.9,3,,1,,1
NationalSecurityAgency/datawave,warehouse/query-core/src/test/resources/queryBeanRefContext.xml,18,21,,,,,,,,,0,0.0,,,,,,,,
NationalSecurityAgency/datawave,web-services/query/src/main/java/datawave/webservice/query/cache/QueryCache.java,28,59,4,1,6,4,,,,,13,31.7,,,,,,,,
NationalSecurityAgency/datawave,web-services/query/src/main/java/datawave/webservice/query/cache/QueryCacheBean.java,79,104,3,1,21,7,7,,,,7,8.1,1,5,0.2,1,,,1,
NationalSecurityAgency/datawave,web-services/query/src/test/java/datawave/webservice/query/cache/QueryCacheBeanTest.java,101,139,5,1,51,5,,,,,10,9.0,5,43,1.4,5,,2,,2
NationalSecurityAgency/datawave,web-services/common-util/src/main/java/datawave/webservice/common/exception/QueryCanceledException.java,11,18,1,1,1,1,,,,,0,0.0,,,,,,,,
NationalSecurityAgency/datawave,core/base-rest-responses/src/main/java/datawave/webservice/query/exception/QueryCanceledQueryException.java,40,55,12,1,12,12,,,,,0,0.0,,,,,,,,
